ec5_uuid,created_at,uploaded_at,title,SITE,NEW_SITE,CSO,lat_LOC,long_LOC,accuracy_LOC,UTM_Northing_LOC,UTM_Easting_LOC,UTM_Zone_LOC,DATE,TIME,SAMPLER_ID,COND,TEMP,NITR,PHOS_METER,PHOS_HI,PHOS_LO,RIVER_HEIGHT,PHOTO_YN,PHOTO,COMMENTS
e9c2a5df-1c1d-48db-9322-b1426586df19,2026-02-26T16:51:57.000Z,2026-02-26T16:52:05.000Z,"Avon River - Warwick - Longbridge Sewage Works 26/02/2026 SA0142","Avon River - Warwick - Longbridge Sewage Works",,,,,,,,,26/02/2026,12:20,SA0142,349,12.4,10,"Low range Hanna pocket checker (﹤2.5ppm)",,0.5,1.37,No,,"Surface foam visible"
5775aeee-0d9e-4c26-bc41-9d9851416f76,2026-02-26T14:47:24.000Z,2026-02-26T14:48:13.000Z,"Stour River - Preston on Stour - Preston Ln Bridge 26/02/2026 SA0140","Stour River - Preston on Stour - Preston Ln Bridge",,,,,,,,,26/02/2026,13:42,SA0140,595,11.2,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.23,1.7,No,,"River running fast, but not in spate, no rain for 2 days"
611933cf-4537-424f-a5ef-90e90c4289c9,2026-02-25T09:57:36.000Z,2026-02-25T09:57:51.000Z,"Carrant Brook - Beckford - Back Ln 25/02/2026 SA0055","Carrant Brook - Beckford - Back Ln",,,,,,,,,25/02/2026,09:46,SA0055,658,10.5,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.54,0.32,No,,Clear
166111f8-9455-4f4a-b772-dbb165ff33fc,2026-02-24T15:17:57.000Z,2026-02-24T15:18:55.000Z,"Avon River - Alveston - Weir 24/02/2026 SA0017","Avon River - Alveston - Weir",,,,,,,,,24/02/2026,14:30,SA0017,672,12.6,10,"Low range Hanna pocket checker (﹤2.5ppm)",,0.4,1,No,,"CSO spilling since 24th of Feb at 07:42 am. No rain in previous 24 hrs."
147d8a85-ceac-4534-9be8-0342974de20d,2026-02-24T12:33:27.000Z,2026-02-24T13:47:05.000Z,"Carrant Brook - Tewkesbury - Railway Bridge 24/02/2026 SA0136","Carrant Brook - Tewkesbury - Railway Bridge",,,,,,,,,24/02/2026,12:22,SA0136,638,11.7,10,"Low range Hanna pocket checker (﹤2.5ppm)",,1.32,1,Yes,https://five.epicollect.net/api/media/safeavon?type=photo&format=entry_original&name=147d8a85-ceac-4534-9be8-0342974de20d_1771936344.jpg,"Dry & cloudy. Water cloudy."
3c014404-781c-41d9-b1b3-6bd076bb9d4e,2026-02-24T13:44:50.000Z,2026-02-24T13:44:56.000Z,"Carrant Brook - Tewkesbury - Mitton Path 24/02/2026 SA0133","Carrant Brook - Tewkesbury - Mitton Path",,,,,,,,,24/02/2026,13:38,SA0133,680,12.4,10,"Low range Hanna pocket checker (﹤2.5ppm)",,0.34,,Yes,https://five.epicollect.net/api/media/safeavon?type=photo&format=entry_original&name=3c014404-781c-41d9-b1b3-6bd076bb9d4e_1771940623.jpg,"Smells like the sea side"
c0f36244-95df-482a-85b8-d2abd5f8a4fb,2026-02-24T08:41:30.000Z,2026-02-24T08:41:43.000Z,"Avon River - Twyning Green - Twyning Quay 24/02/2026 SA0135","Avon River - Twyning Green - Twyning Quay",,,,,,,,,24/02/2026,08:29,SA0135,640,10.9,10,"Low range Hanna pocket checker (﹤2.5ppm)",,0.53,1.5,No,,Flood
1ee05818-78a1-4955-9d9f-6e192157dd06,2026-02-23T13:56:20.000Z,2026-02-23T13:56:27.000Z,"Avon River - Alveston - Swiffen Bank 23/02/2026 SA0017","Avon River - Alveston - Swiffen Bank",,,,,,,,,23/02/2026,12:30,SA0017,566,10.8,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.49,0.5,No,,"Upstream CSO spilling for 5 hrs. River high and water cloudy."
253da7d6-0e88-4689-be9c-f3c0df7fd5be,2026-02-23T11:04:56.000Z,2026-02-23T11:05:02.000Z,"Isbourne River - Winchcombe - B 23/02/2026 SA0015","Isbourne River - Winchcombe - B",,,,,,,,,23/02/2026,11:03,SA0015,432,11.3,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0,1.5,No,,
d31f9d72-c33f-490f-98e5-7f6e6465bf29,2026-02-23T10:05:16.000Z,2026-02-23T10:05:21.000Z,"Isbourne River - Winchcombe - C 23/02/2026 SA0114","Isbourne River - Winchcombe - C",,,,,,,,,23/02/2026,09:45,SA0114,445,10.6,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.23,0.4,No,,
b7c0e929-1a80-45b8-a17f-aa3b76614a74,2026-02-22T19:46:24.000Z,2026-02-22T19:46:31.000Z,"Stour River - Cherington - Sewage Treatment Works 21/02/2026 SA0126","Stour River - Cherington - Sewage Treatment Works",,,,,,,,,21/02/2026,12:20,SA0126,535,10.2,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.47,,No,,Overcast
1c657fb8-1d0f-48bd-86a0-8089ce4e89db,2026-02-22T17:36:45.000Z,2026-02-22T17:37:15.000Z,"Avon River - Great Comberton - Quay Ln 22/02/2026 SA0103","Avon River - Great Comberton - Quay Ln",,,,,,,,,22/02/2026,16:00,SA0103,611,9.7,10,"Low range Hanna pocket checker (﹤2.5ppm)",,0.56,2.65,No,,"River depth taken from Eckkngton sluice data"
136e2a96-4a33-4cfa-bcd3-e0b30089fa11,2026-02-22T15:38:48.000Z,2026-02-22T15:42:56.000Z,"Bow Brook - Peopleton - Mill Bridge 22/02/2026 SA0042","Bow Brook - Peopleton - Mill Bridge",,,,,,,,,22/02/2026,13:55,SA0042,671,12.4,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.47,1.5,Yes,https://five.epicollect.net/api/media/safeavon?type=photo&format=entry_original&name=136e2a96-4a33-4cfa-bcd3-e0b30089fa11_1771774648.jpg,"Bridge closed for repairs, sample taken from Mill race. Good flow. Water within its banks but high, height estimated from similar day."
b010d7d0-2178-49fc-9f8f-2d3bb3ad76d2,2026-02-22T13:41:28.000Z,2026-02-22T13:41:44.000Z,"Swilgate River - Tewkesbury - A38 19/02/2026 SA0001","Swilgate River - Tewkesbury - A38",,,,,,,,,19/02/2026,12:30,SA0001,303,6,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.38,2,No,,
239375b3-79c5-4416-88c8-04417d446712,2026-02-22T13:39:52.000Z,2026-02-22T13:41:39.000Z,"Carrant Brook - Tewkesbury - M5 Bridge 22/02/2026 SA0001","Carrant Brook - Tewkesbury - M5 Bridge",,,,,,,,,22/02/2026,10:38,SA0001,628,10,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.35,1.5,No,,
5763b554-9713-4e74-9a00-bc55d678d5ba,2026-02-22T13:17:56.000Z,2026-02-22T13:41:35.000Z,"Avon River - Tewkesbury - Black Bear Pub 22/02/2026 SA0001","Avon River - Tewkesbury - Black Bear Pub",,,,,,,,,22/02/2026,13:16,SA0001,294,10.7,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.79,2,No,,
5af8d26d-1ea3-4c04-bdd8-9533d58cb7f2,2026-02-22T09:59:42.000Z,2026-02-22T09:59:49.000Z,"Isbourne River - Winchcombe - D 22/02/2026 SA0113","Isbourne River - Winchcombe - D",,,,,,,,,22/02/2026,09:44,SA0113,463,12.4,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.11,1.2,No,,
cb7eb8ec-9a4c-4281-891d-268215f42cf3,2026-02-21T19:25:13.000Z,2026-02-21T19:25:47.000Z,"Carrant Brook - Tewkesbury - Bredon Rd 21/02/2026 SA0009","Carrant Brook - Tewkesbury - Bredon Rd",,,,,,,,,21/02/2026,12:30,SA0009,587,9.4,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.46,1.65,No,,
ea90a82c-edfa-4432-b9e9-b2e7b3fd400e,2026-02-21T14:58:35.000Z,2026-02-21T14:58:54.000Z,"Piddle Brook - Wyre Piddle - Bridge 21/02/2026 SA0078","Piddle Brook - Wyre Piddle - Bridge",,,,,,,,,21/02/2026,10:51,SA0078,683,8.5,2,"Low range Hanna pocket checker (﹤2.5ppm)",,0.51,0.72,No,,"Falling, high, silty,slow"
ac797dbf-ce2c-4175-acb6-e0f9dc6e44fe,2026-02-21T14:51:53.000Z,2026-02-21T14:58:49.000Z,"Avon River - Wyre Piddle - Smiths Meadows 21/02/2026 SA0078","Avon River - Wyre Piddle - Smiths Meadows",,,,,,,,,21/02/2026,10:20,SA0078,629,8.1,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.5,1.46,No,,"FAllington, fast flowing, silty"
1c73f2cb-5808-4af6-bd50-806ef7e15e3a,2026-02-21T11:57:08.000Z,2026-02-21T11:57:18.000Z,"Piddle Brook - Wyre Piddle - Bridge 21/02/2026 SA0045","Piddle Brook - Wyre Piddle - Bridge",,,,,,,,,21/02/2026,10:55,SA0045,683,8.5,2,"Low range Hanna pocket checker (﹤2.5ppm)",,0.51,0.72,No,,"Dull and calm. Recent flood. River falling. Slow and silty."
71b3ae7f-3d48-49f2-a5a7-db346c1ba3e3,2026-02-21T11:38:36.000Z,2026-02-21T11:57:13.000Z,"Avon River - Wyre Piddle - Smiths Meadows 21/02/2026 SA0045","Avon River - Wyre Piddle - Smiths Meadows",,,,,,,,,21/02/2026,10:14,SA0045,629,8.1,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.5,1.46,No,,"Dull calm. River falling, fast flowing and silty"
07c70a7e-fc7e-480c-a5a3-c519f662ac75,2026-02-21T11:52:15.000Z,2026-02-21T11:52:20.000Z,"Isbourne River - Winchcombe - A 21/02/2026 SA0111","Isbourne River - Winchcombe - A",,,,,,,,,21/02/2026,11:46,SA0111,313,10.5,2,"Low range Hanna pocket checker (﹤2.5ppm)",,0.17,0.3,No,,
f5b5a304-caa4-4813-b1c0-ed53087e97e9,2026-02-20T17:41:16.000Z,2026-02-20T17:41:25.000Z,"Stour River - Preston on Stour - Preston Ln Bridge 20/02/2026 SA0140","Stour River - Preston on Stour - Preston Ln Bridge",,,,,,,,,20/02/2026,11:15,SA0140,475,7.7,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.31,2,No,,"2 swans visible dull overcast day"
377b427c-a384-4642-b36a-4a5202869978,2026-02-20T15:18:32.000Z,2026-02-20T15:18:44.000Z,"Stour River - Shipston-on-Stour - Mill Bridge 20/02/2026 SA0070","Stour River - Shipston-on-Stour - Mill Bridge",,,,,,,,,20/02/2026,15:06,SA0070,478,9.6,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.08,1.3,No,,
b05e4571-ada6-47bc-8cf0-c9c370a1bd42,2026-02-20T13:22:23.000Z,2026-02-20T13:22:35.000Z,"Avon River - Barford - Barford Community Orchard 20/02/2026 SA0142","Avon River - Barford - Barford Community Orchard",,,,,,,,,20/02/2026,13:20,SA0142,326,9.3,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.6,1.71,No,,
0611f46c-911c-4da3-b7f4-1ecbb7d2eed7,2026-02-20T12:43:47.000Z,2026-02-20T12:43:55.000Z,"Avon River - Warwick - Warwick Boat Club 20/02/2026 SA0142","Avon River - Warwick - Warwick Boat Club",,,,,,,,,20/02/2026,12:41,SA0142,323,9.7,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.61,1.71,No,,
3921a11d-10f5-4229-9a3b-68c88f470c8b,2026-02-20T12:09:01.000Z,2026-02-20T12:09:08.000Z,"Avon River - Warwick - Longbridge Sewage Works 20/02/2026 SA0142","Avon River - Warwick - Longbridge Sewage Works",,,,,,,,,20/02/2026,12:06,SA0142,308,8.3,5,"Low range Hanna pocket checker (﹤2.5ppm)",,1.45,1.71,No,,
9de718c0-b64e-4ccb-9519-e70db9a4ca62,2026-02-20T11:02:35.000Z,2026-02-20T11:02:52.000Z,"Avon River - Barford - Verdon Place 20/02/2026 SA0142","Avon River - Barford - Verdon Place",,,,,,,,,20/02/2026,10:57,SA0142,325,8.4,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.31,1.71,No,,
34883ac0-0dde-11f1-b337-edf102abe9b7,2026-02-19T21:59:04.000Z,2026-02-19T22:05:12.000Z,"Stour River - Shipston-on-Stour - Fell Mill Footbridge 17/02/2026 SA0099","Stour River - Shipston-on-Stour - Fell Mill Footbridge",,,,,,,,,17/02/2026,13:00,SA0099,482,7.2,10,"Low range Hanna pocket checker (﹤2.5ppm)",,0.16,2.42,Yes,https://five.epicollect.net/api/media/safeavon?type=photo&format=entry_original&name=34883ac0-0dde-11f1-b337-edf102abe9b7_1771538566.jpg,"Tested by Alison Ireland who also provided the photo.  River very full but not over the Footbridge.  Last week it was inaccessible and submerged."
7b180650-0d91-46ef-9a26-a39d5ce3ec15,2026-02-19T16:38:25.000Z,2026-02-19T16:38:32.000Z,"Avon River - Twyning Green - Twyning Quay 19/02/2026 SA0135","Avon River - Twyning Green - Twyning Quay",,,,,,,,,19/02/2026,16:22,SA0135,560,7.4,10,"Low range Hanna pocket checker (﹤2.5ppm)",,0.92,1,No,,"In flood. Sample taken from floodwater, not main flow."
0a5d2971-0055-4cfc-a535-615ad09be4ab,2026-02-18T21:58:19.000Z,2026-02-18T21:58:27.000Z,"Stowe River - Southam - Welsh Rd E 14/02/2026 SA0096","Stowe River - Southam - Welsh Rd E",,,,,,,,,14/02/2026,16:50,SA0096,527,6.1,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.2,0.4,No,,"Ph - 7.66. Sample significantly blue.Took second phosphate reading as first reading 0.89 - big outlier"
eb099a16-ab2a-4cce-ba4b-f944ce8d6a84,2026-02-18T21:54:31.000Z,2026-02-18T21:58:26.000Z,"Stowe River - Napton on the Hill - Lower Fields Farm 14/02/2026 SA0096","Stowe River - Napton on the Hill - Lower Fields Farm",,,,,,,,,14/02/2026,16:24,SA0096,469,6.6,2,"Low range Hanna pocket checker (﹤2.5ppm)",,0.2,0.59,No,,"Ph - 7.64. Bright sunny day. Water brown colouring"
0981c1a6-0b4d-440d-a402-e3cfd42e06f4,2026-02-18T21:51:17.000Z,2026-02-18T21:58:25.000Z,"Stowe River - Napton on the Hill - Sewage Works Footbridge 14/02/2026 SA0096","Stowe River - Napton on the Hill - Sewage Works Footbridge",,,,,,,,,14/02/2026,15:55,SA0096,459,7.6,2,"Low range Hanna pocket checker (﹤2.5ppm)",,0.18,0.2,No,,"Ph - 7.68"
219f2e5a-8254-4b78-9808-cafb54a9ad1d,2026-02-18T21:48:07.000Z,2026-02-18T21:48:50.000Z,"Stowe River - Southam - Welsh Rd E 08/02/2026 SA0096","Stowe River - Southam - Welsh Rd E",,,,,,,,,08/02/2026,10:55,SA0096,476,8.3,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.18,0.56,No,,"Ph - 7.69"
021b65de-d34d-4be9-85be-2cdeb03569de,2026-02-18T21:45:59.000Z,2026-02-18T21:48:49.000Z,"Stowe River - Napton on the Hill - Lower Fields Farm 08/02/2026 SA0096","Stowe River - Napton on the Hill - Lower Fields Farm",,,,,,,,,08/02/2026,10:25,SA0096,460,8.3,2,"Low range Hanna pocket checker (﹤2.5ppm)",,0.18,0.74,No,,"Ph - 7.57"
f381f0fe-23d8-4807-870a-618702723832,2026-02-18T21:42:53.000Z,2026-02-18T21:48:48.000Z,"Stowe River - Napton on the Hill - Sewage Works Footbridge 08/02/2026 SA0096","Stowe River - Napton on the Hill - Sewage Works Footbridge",,,,,,,,,08/02/2026,09:53,SA0096,450,8.5,2,"Low range Hanna pocket checker (﹤2.5ppm)",,0.22,0.25,No,,"Ph - 7.7. Phosphate sample went yellow"
d8bb4086-cec5-4848-889d-44014ea504e2,2026-02-18T21:39:34.000Z,2026-02-18T21:39:45.000Z,"Stowe River - Southam - Welsh Rd E 31/01/2026 SA0096","Stowe River - Southam - Welsh Rd E",,,,,,,,,31/01/2026,04:12,SA0096,581,7.5,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.15,0.32,No,,"Ph - 7.8.  Yellowy suspended solids"
0ebcc002-0af8-4fc3-8b74-8b40758ea828,2026-02-18T21:37:11.000Z,2026-02-18T21:39:44.000Z,"Stowe River - Napton on the Hill - Lower Fields Farm 31/01/2026 SA0096","Stowe River - Napton on the Hill - Lower Fields Farm",,,,,,,,,31/01/2026,15:49,SA0096,533,7.7,2,"Low range Hanna pocket checker (﹤2.5ppm)",,0.36,0.47,No,,"Ph - 7.73"
5ec26027-b9bf-4165-9f46-0eb5646e49e8,2026-02-18T21:35:01.000Z,2026-02-18T21:39:42.000Z,"Stowe River - Napton on the Hill - Sewage Works Footbridge 31/01/2026 SA0096","Stowe River - Napton on the Hill - Sewage Works Footbridge",,,,,,,,,31/01/2026,03:27,SA0096,521,7.7,2,"Low range Hanna pocket checker (﹤2.5ppm)",,0.2,0.22,No,,"Ph - 7.7"
73f4869e-c654-4bf9-9fb5-b93649c8ba8d,2026-02-18T18:11:44.000Z,2026-02-18T18:11:50.000Z,"Avon River - Pershore - Pershore Bridges 18/02/2026 SA0137","Avon River - Pershore - Pershore Bridges",,,,,,,,,18/02/2026,13:00,SA0137,547,6.8,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.41,,No,,Flooding
c9ebbadf-28ef-4268-8b86-3dc308ba4ba8,2026-02-17T11:55:30.000Z,2026-02-17T16:19:59.000Z,"Carrant Brook - Tewkesbury - Railway Bridge 17/02/2026 SA0136","Carrant Brook - Tewkesbury - Railway Bridge",,,,,,,,,17/02/2026,11:43,SA0136,564,8.1,5,"Low range Hanna pocket checker (﹤2.5ppm)",,1.58,1,Yes,https://five.epicollect.net/api/media/safeavon?type=photo&format=entry_original&name=c9ebbadf-28ef-4268-8b86-3dc308ba4ba8_1771329293.jpg,"Water cloudy. Weather dry."
142e1145-40a7-49fe-9334-c45ea729727b,2026-02-17T15:19:02.000Z,2026-02-17T15:19:08.000Z,"Sutton Brook - Lower Brailes - High St 17/02/2026 SA0001","Sutton Brook - Lower Brailes - High St",,,,,,,,,17/02/2026,15:16,SA0001,455,6.4,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.13,0.5,No,,
f39d5618-d207-4e6e-ac45-a9d08894c127,2026-02-17T12:25:50.000Z,2026-02-17T12:25:58.000Z,"Carrant Brook - Tewkesbury - Mitton Path 17/02/2026 SA0133","Carrant Brook - Tewkesbury - Mitton Path",,,,,,,,,17/02/2026,12:13,SA0133,630,8.3,5,"Low range Hanna pocket checker (﹤2.5ppm)",,0.23,,Yes,https://five.epicollect.net/api/media/safeavon?type=photo&format=entry_original&name=f39d5618-d207-4e6e-ac45-a9d08894c127_1771331136.jpg,
